# $Id: translation-terms.txt,v 1.23 2001/01/13 04:47:26 yyamano Exp $
#
# 以下のリストの単語は2種類に分類できます。
# 
# [術語(term)] この業界のある特定の概念を表しているもの。例えば、
#   所有者ID, プロセス(など intro.2 の項目), ナル文字 etc.
# 
# [一般語] 特定の概念に結び付かないもの。例えば、
#   重ね書き、一致/マッチ、デフォルト(は微妙か:-)、コピー etc.
# 
# 術語は極力統一するよう試みて下さい。もし不自然とか、統一が難しいとか
# いう事態が生じた場合、リストのその単語部分の記述を検討しますので、メー
# リングリストに御一報下さると助かります。
# 
# 一般語には [general] を付けています。一般語の訳語は参考としての位置
# 付けで、文脈によって工夫することはいっこうに構いません(というか望ま
# しいかも)。
# [kana] とあるのは、片仮名表記の場合に揺れの大きいもの。
#
# XXX - [] がついてない単語は、故意ではなく、作業を怠っているため
#
# ------------------------------------------------------------------------
# 対訳表 ("sort -f" 順。※ emacs で、範囲指定してから 「C-u M-| sort -f」)
# -------------------------------------	----------------------------------
# オリジナル				訳
# -------------------------------------	----------------------------------
32-bit					32 ビット
breakpoint				ブレークポイント
BSD 4.4-lite				BSD-4.4-lite
BSDI					BSDI
buffer, to buffer			バッファリングする[POSIX]
buffering				バッファリング[POSIX]
build					構築
built-in				ビルトイン
Bulletin Board Systems			電子掲示板システム
burst					バースト[POSIX]
bus					バス
busmaster				バスマスター
byte					バイト
C					C
C++					C++
cache					キャッシュ
CAD					CAD
call					呼び出し[general]
calling process				呼び出し元プロセス[POSIX]
calling process image			呼び出し元プロセスイメージ[POSIX]
canonical mode				標準モード[POSIX]
CAPABILITIES				ケーパビリティー(.Sh)[gettytab.5]
capability				ケーパビリティー[termcap.5,terminfo.5]
capability file				ケーパビリティーファイル
caret					キャレット (`^' のこと)
carriage return				復帰文字[JIS],初出は「復帰文字(carriage return)」
case					ケース (大文字/小文字)[re_format.5]
catch (a signal)			(シグナルを)捕そく(捉)する[POSIX]
CDROM					CDROM
central server				中心のサーバー
character				文字
character device			キャラクター型デバイス
character handling			文字操作[POSIX]
character special file			キャラクター型特殊ファイル
check out				(通常の文中では)チェックアウトする [cvs.1,cvs.5]
child process				子プロセス[POSIX]
chip set				チップセット
claim					表明する[POSIX]
class					クラス[POSIX]
clear					0に設定する[POSIX](文脈により値を変えるなど変更OK)
client					クライアント
clock tick				時間単位[POSIX]
close					クローズする(ファイルを)[POSIX]
close-on-exec flag			実行時クローズフラグ[POSIX]
coherency				コヒーレンシー
collation				照合[POSIX]
collation element			照合要素[re_format.5]
collation sequence			照合文字列
collection				コレクション
column					列(通常は)[column.1,...],桁(画面上の横座標の場合)[termcap.5,terminfo.5]
column tab				カラムタブ[map3270.5]
comma					コンマ[gettytab.5]
command interpreter			コマンドインタープリター[POSIX]
command modifier			コマンドモディファイアー
command set				コマンドセット
comment					コメント
comment (this) out			コメントアウト
commercial				商用, 商業
commercial Unix				system
commit					(通常の文中では)コミット(する) [cvs.1,cvs.5]
communication				通信[POSIX]
communications network			通信ネットワーク[POSIX]
communications options			通信方式の選択
compatibility				コンパチビリティー
compile					コンパイル[POSIX]
compiler				コンパイラー
component				構成,構成要素[POSIX]
compression				圧縮
comprise				詰めて
computer				コンピューター
computer science			コンピューターサイエンス
Computer Systems Research Group		Computer Systems Research Group
concatination				連結
concurrent version system		コンカレントバージョンシステム [cvs.1,cvs.5]
condition				条件[POSIX]
config					コンフィグ
configurable				構成可能な[POSIX]
configuration				設定, コンフィギュレーション
configuration file			コンフィギュレーションファイル
configuration file			設定ファイル(構成ファイルでなく)[intro.5]
configure				設定する
conformance				適合[POSIX]
conformance document			適合文書[POSIX]
conforming system			適合するシステム[POSIX]
connector				コネクター
construct				構成要素[POSIX]
contact					連絡先
context					コンテキスト(コンテクストでなく)[kana]
contiguous				隣接している[POSIX]
continuous stream			連続したストリーム[POSIX]
controller				コントローラー
controlling				制御[POSIX]
controlling process			制御プロセス[POSIX]
controlling terminal			制御端末[POSIX]
convention				伝統的に…になっている,約束[termcap.5]
Coordinated Universal Time		世界標準時[POSIX]
copy					コピー(する)
core					コア
corresponding value			対応値[POSIX]
CPU					CPU
create					生成する(ファイルを)[POSIX]
creation				生成[POSIX]
credential				(認証を受けた結果の)資格証明(状況に応じ工夫必要)[ntp,exports.5]
criteria				基準[POSIX]
CROSS REFERENCE(S)			参照(.Sh)[POSIX]
CRT					CRT[termcap.5]
crush dump				クラッシュダンプ
CSRG					CSRG
current					current
current state				現在の状態[POSIX]
current working directory		現在の作業ディレクトリー[POSIX]
customize				カスタマイズする
custum kernel				カスタムカーネル
cylinder				シリンダー
Cyrix					Cyrix 社
daemon					デーモン
data structure				データ構造[POSIX]
data transfer rate			データ転送レート
date					日付[POSIX]
deadlock				デッドロック
deassignment				解放[POSIX]
debugger				デバッガー
decimal number				10進数の数[POSIX]
decompress				伸長
default					デフォルト[general]
default action				デフォルトの操作
default branch				デフォルトの枝(指定なしで最新と判断されるリビジョン)[rcsdiff.1,rcs.1,co.1]
defined type				データ型定義[POSIX]
delay					遅延[gettytab.5]
delay time				ディレイタイム
deliver (a signal)			(シグナルを)配送する[POSIX]
demand paged				デマンドページング
denial of service			サービス不能攻撃
DES					DES
DESCRIPTION				解説(.Sh)[jpman]
description				説明
descriptor				記述子[POSIX]
designation				指示[POSIX]
destribution site			配布サイト
detection				検出[POSIX]
development				開発
development tools			開発ツール
device					デバイス(/dev 下のデバイスファイル関連のもの)
device file				デバイスファイル
device node				デバイスノード
device special file			デバイス型特殊ファイル
dial-on-demand				ダイアル オン デマンド
differential				ディファレンシャル, 平衡
directive				ディレクティブ(命令、指令の類)[C,stab.5]
directory				ディレクトリー[POSIX]
directory entry				ディレクトリーエントリー[POSIX]
directory stream			ディレクトリーストリーム[POSIX]
dirty bit				ダーティービット
discard					破棄する[POSIX]
discontinued				生産中止
disk space				ディスクスペース
diskless				ディスクレス
display					描画する[termcap.5]
DLL					DLL
DNS					DNS
document				ドキュメント
dot					ドット[POSIX]
dot-dot					ドットドット[POSIX]
dumb terminal				ダム端末
dummy descriptor			ダミーのディスクリプター
dump					ダンプ
duplicate				複製する[POSIX]
DX					DX
dynamic					動的な
e-mail					電子メール
east of Prime Meridian			東半球[POSIX]
easy-to-port				移植の容易な
eBones					eBones
education				教育
effective group ID			実効グループID[POSIX]
effective user ID			実効ユーザーID
elapsed real time			経過した実時間[POSIX]
Electronic Mail servers			電子メールサーバー
empty directory				空きディレクトリー[POSIX]
empty name				空の名前[POSIX]
empty pipe				空パイプ[POSIX]
empty set				空集合[POSIX]
empty string				空の文字列[POSIX]
encoding				表現形式[POSIX]
end of file indication			ファイル終了表示[POSIX]
end-of-archive indicator	        アーカイブファイル終了表示子[POSIX]
end-of-file				ファイルの終わり[POSIX]
end-of-media				媒体の終わり[POSIX]
engineering field			工学の分野
enterprise server			商用のサーバー
entry					エントリー[POSIX,kana]
environment				環境[POSIX]
environment list			環境並び[POSIX]
environment string			環境文字列[POSIX]
environment variable			環境変数[POSIX]
Epoch					基準時点(世界標準時 1970年1月1日 00:00:00)[POSIX]
erase					文字消去[gettytab.5]
ERASE character				ERASE 文字[POSIX]
error					誤り[POSIX]
error code				誤りコード[POSIX]
error condition(s)			誤り状態[POSIX]
ERRORS					誤り(.Sh)[POSIX]
establish connection			結び付ける[POSIX]
ethernet				イーサネット
evaluate				評価する[POSIX]
event					イベント
exclusive lock				排他的ロック[POSIX]
exec family of function			exec関数群[POSIX]
executable file				実行可能ファイル[POSIX]
execute					実行する(動詞)[POSIX]
execution				実行[POSIX]
execution permission			実行許可[POSIX]
existing system				既存のシステム[POSIX]
Experimental port			実験的port
expire					期限切れ[POSIX]
export					エクスポート(エキスポートより)[kana]
export-restricted			輸出規制
exported				エクスポートされる
extention				拡張[POSIX]
external identifier			外部識別子[POSIX]
external variable			外部変数[POSIX]
facility				ファシリティー(初出で「ファシリティー(機能分類)」)(syslog の機能分類の単位)[ftpd.8,pppd.8,syslog.1]
factory automation			ファクトリーオートメーション
family					ファミリー[kana]
feature					機能[POSIX](文脈により変えてOK),特徴[general]
feature test macro			機能試験マクロ[POSIX]
field					フィールド[POSIX]
FIFO					FIFO[POSIX]
FIFO special file			FIFO型特殊ファイル[POSIX]
file access mode			ファイルのアクセスモード[POSIX]
file characteristic			ファイルの属性[POSIX]
file characteristic(s) structure        ファイルの属性構造体[POSIX]
file creation mask			ファイル生成マスク[POSIX]
file description			ファイル記述[POSIX]
file descriptor				ファイル記述子[POSIX]
file entry point			ファイルエントリーポイント
file group class			ファイルグループクラス[POSIX]
file hierarchy				ファイル階層[POSIX]
file lock				ファイルロック[POSIX]
file mode				ファイルモード[POSIX]
file mode creation mask			ファイルモード生成マスク[POSIX]
file name				ファイル名[POSIX]
file offset				ファイルオフセット[POSIX]
file other class			ファイル他者クラス[POSIX]
file owner class			ファイル所有者クラス[POSIX]
file permission bit(s)			ファイル許可ビット[POSIX]
file removal				ファイルの削除[POSIX]
file resource				ファイルリソース[PostScript]
file serial number			ファイル通し番号[POSIX]
file status				ファイル状態[POSIX]
file status flag			ファイル状態フラグ[POSIX]
file system				ファイルシステム[POSIX]
file type				ファイルの型[POSIX]
FILES					関連ファイル(.Sh)[jpman]
filter					フィルター[kana]
firewall				防火壁
first-in-first-out			先入れ先出し[POSIX]
flag					フラグ[POSIX]
flow control function			フロー制御機能[POSIX]
flush					フラッシュする(ファイルを)
font position				フォント位置[troff.1,groff_font.5]
font resource				フォントリソース[PostScript]
foreground				表[POSIX]
foreground color			前景色[termcap.5]
foreground process			表プロセス[POSIX]
foreground process group		表プロセスグループ[POSIX]
foreground process group ID		表プロセスグループID[POSIX]
Formal release				公式リリース
format					形式[POSIX]
formatting				(出力の) 整形
Fortran					Fortran
FQDN					完全な形でのドメイン名[rc.conf.5](fully-qualified-domain-name参照)
fragment				分割
frame					フレーム[POSIX]
framing error				フレーム誤り[POSIX]
free page				空きページ
FreeBSD Project				FreeBSD プロジェクト
FreeBSD system				FreeBSD システム
fstab					fstab
ftp					ftp
FTP servers				FTP サーバー
full source				完全なソース
full-duplex				全二重[POSIX]
fully-qualified-domain-name		完全な形でのドメイン名[rc.conf.5]
fully-qualified-host-name		完全な形でのホスト名[ethers.5]
function				関数(プログラム中の値を返すプログラム副単位)[gctags.1]
function				機能(一般的概念)
function prototype			関数プロトタイプ[C]
functionality				機能[POSIX]
gain access				アクセス権を得る[POSIX]
game console				ゲーム機
general utilities			一般ユーティリティー[POSIX]
GENERIC					GENERIC
geometry				ジオメトリー
global					global
GNU					GNU
Gopher servers				Gopher サーバー
gracefully				行儀よく
graphic design				グラフィックデザイン
graphical user interface		グラフィカルユーザーインタフェース
group ID				グループID[POSIX]
GUI					GUI
hacker					クラッカー(不正アクセスを行う人物を指す場合),ハッカー(本来の意味の場合)
hard-code				ハードコード
hardware				ハードウェア[POSIX]
hardware type				ハードウェアタイプ[POSIX]
hardwired terminal			端末, シリアル端末
header					ヘッダー[kana,POSIX]
header <XXX.h>				ヘッダー <XXX.h>[POSIX]
helical-scan				ヘリカルスキャン
high-performance			性能の高い
history					(CVS の) ヒストリー [cvs.1,cvs.5]
home など				ホーム(ホームポジション),home(home キー)[termcap.5]
host					ホスト
hostname				ホスト名
hung up					(回線)切断[POSIX]
I/O activity				入出力動作[POSIX]
idea					アイディア
identifier				識別子
idle					アイドル[APM]
ignore (a signal)			(シグナルを)無視する[POSIX]
impedance matching			インピーダンスマッチング
implement				実装する[POSIX]
implementation				実装
implementation				実装[POSIX]
implementation defined			実装者定義[POSIX]
implementation does			実装者が...する[POSIX]
imposed					課す[POSIX]
include					取り込む(目的語がヘッダーのとき)[POSIX]
inclusive OR				OR[POSIX]
indent					字下げ (する)
indentification				識別名
indeterminate				不定[POSIX]
index					インデックス(インデクスでなく)[kana]
indication				表示[POSIX]
industry standard			工業規格
initialize				初期化する[POSIX]
input and output baud rates		入出力ボーレート
input baud rate				入力ボーレート[POSIX]
input rate				入力速度[POSIX]
insn					インストラクション,instruction の略語
instance				一例[general],インスタンス[?!]
integral expression			汎整数式[POSIX]
Intel					Intel 社
inter-operative				運営
interactive response			対話的な応答
interbyte timer				バイト間タイマー[POSIX]
interchange				交換[POSIX]
interchange format			交換形式[POSIX]
interconnection				相互接続
interface				インタフェース(インターフェース,インターフェイスでなく)[POSIX,kana]
internet				インターネット(長音例外:インタネットでない)[kana]
Internetworking				インターネットワーク,相互接続網[ethers.5]
interpreter				インタープリター[kana]
interprocess signal			プロセス間シグナル[POSIX]
interrupt				割り込み
invalid					正当でない,不正な[general]
inventory control			在庫制御
IRV					ISO646 国際参照版[POSIX]
ISA					ISA バスを用いた
job					ジョブ[POSIX]
job control				ジョブ制御[POSIX]
joystick				ジョイスティック
Julian day				ユリウス日[POSIX]
Kerberos				Kerberos
kernel					kernel, カーネル
Kernel Configuration			カーネル・コンフィギュレーション
kernel driver				カーネル・ドライバー
key					鍵(暗号関係では)、キー
key value				キーの値[POSIX]
kill					行削除[gettytab.5]
KILL character				KILL 文字[POSIX]
language				言語
Language-Specific Services		言語特有のサービス[POSIX]
laptop					ラップトップ
large section				章
layout					レイアウト
Leap days				うるう日[POSIX]
letter					レター
licensing agreement			ライセンスの同意
lifetime				生存期間[POSIX]
limit					限界[POSIX],タイムリミット,ハードリミット,ソフトリミットはOK
limitation				制限
line					回線(端末回線のこと)[ttys.5]
line control function			回線制御関数[POSIX]
link					リンク[POSIX]
link count				リンク数[POSIX]
linked-to name				リンクされた名前[POSIX]
Linux					Linux
list					並び,リスト[general]
load point				ロードポイント
local system				ローカルシステム,局所システム[general]
local time				地域時間[POSIX]
locale					ロケール[POSIX]
locale category				ロケールカテゴリー[POSIX]
log in to				ログインする[POSIX]
logical					論理的
logical unit				ロジカルユニット
login					ログイン[POSIX]
login name				ログイン名[POSIX]
loopback				ループバック
low-order				下位[POSIX]
lower-performance			低性能の
lowercase leters			小文字[POSIX]
machine unit				マシン単位[pic.1,groff_font.5,groff_out.5]
macro					マクロ[POSIX]
magic byte				マジックバイト[POSIX]
man					man
mandatory				必須
mandatory keywords			必須キーワード
manipuration				操作[POSIX]
manual mount				手動マウント
manual page				マニュアルページ
map					マップする[general]
mapper					マッパー[kana]
mark for update				更新用の印を付ける[POSIX]
mask					マスクする
mask name				マスク名[POSIX]
master					マスター[kana]
match					一致,マッチ[general]
matching				一致している,マッチング[general]
mechanism				機構[POSIX]
member					メンバー[POSIX,kana]
member type				メンバー型[POSIX]
memory					メモリー
memory management			メモリー管理[POSIX]
memory protection			メモリー保護
memory-mapped file system		メモリーマップト ファイルシステム
merged VM/buffer cache			付随の VM/buffer キャッシュ
meta syntax				メタ文法[rcsfile.5]
mirror site				ミラーサイト
mode					モード[POSIX]
modem control lines			モデム制御線[POSIX]
modification time			更新時刻[POSIX]
modifier				修飾子[POSIX]
motherboard				マザーボード
mount					マウント(する)[groff_font.5]
mount point				マウントポイント
MS-Windows				MS-Windows
multitasking				マルチタスキング
multiuser				マルチユーザー
name server				ネームサーバー
name space				名前空間[POSIX]
named directory				指定されたディレクトリー[POSIX]
named file				指定されたファイル[POSIX]
namespace				名前空間[devfs.5]
narrow					ナロー
NetBSD					NetBSD
network					ネットワーク
networked				ネットワーク接続されている
networked printing			リモートプリンターからの出力
networking				ネットワーキング
newsgroup				ニュースグループ [limits.1,patch.1,init.8 のニュース]
NFS					NFS
NFS mount				NFS マウント
NIS					NIS
node					ノード[POSIX]
noise margin				ノイズマージン
non-canonical mode			非標準モード[POSIX]
non-local jumps				非局所分岐[POSIX]
non-NULL pointer			非NULLポインター[POSIX]
nonblocking				非ブロッキング[POSIX]
nonblocking read			非ブロッキング読取り[POSIX]
nonblocking write			非ブロッキング書込み[POSIX]
nonstandard extension			非標準拡張[POSIX]
normal termination			正常終了[POSIX]
null					ヌル[C]
null character				ナル文字[POSIX]
NULL pointer				NULL ポインター[POSIX]
null terminated string			ナル文字で終了する文字列[POSIX]
Null-terminated				ナル文字で終わる[POSIX]
number					番号(RCSのリビジョン番号1.1, 1.2.2.1等を意味する時)[rcsfile.5]
numeric value				数値[POSIX]
object					オブジェクト[POSIX]
obsolescent				廃要素,廃れかけている[general]
obsolete				廃止される予定の,先き行きのない[general]
obtaining				獲得
official sources			公式な情報
offset					オフセット[POSIX]
on-line documentation			オンラインドキュメント
open					オープンする[POSIX]
open directory stream			オープンディレクトリーストリーム[POSIX]
open file				オープンファイル[POSIX]
open file description			オープンファイル記述[POSIX]
open file descriptor			オープンファイル記述子[POSIX]
open forum				オープンフォーラム
open system				オープンシステム(POSIX では「開放型システム」だが:-)
operating system			オペレーティングシステム[POSIX]
operation				操作[POSIX]
option					オプション
order					オーダー[kana]
ordered sequence			順序付けられた列[POSIX]
orphaned				親のない[POSIX]("孤児"よりはいいよね)
orphaned process group			親のないプロセスグループ[POSIX]
OS					OS
other					他者[POSIX]
other ID				他者ID[POSIX]
output rate				出力速度[POSIX]
output stream				出力ストリーム[POSIX]
over					オーバー[kana]
overflow				(数字の場合)算術あふれ/(バッファーの場合)あふれ[POSIX]
overrun					追い抜く, 追い抜き
overwriten				重ね書き[POSIX]
owner					所有者[POSIX]
owner ID				所有者ID[POSIX]
ownership				所有権[POSIX]
packages				packages
packet					パケット
packet filtering			パケットフィルターリング
padding					パディング(遅延かせぎ用の詰め文字)[termcap.5,terminfo.5]
page directory stuff			ページディレクトリースタッフ
page fault				ページフォルト
page table				ページテーブル
paging					ページング
parallel bus				パラレルバス
parameter				パラメーター(通常は)(パラメタでなく)。引き数,仮引き数(argument と対比された場合)
parameter list				引き数並び(引数並びでなく)[POSIX]
parent					親[POSIX]
parent directory			親ディレクトリー[POSIX]
parent process				親プロセス[POSIX]
parity					パリティー[POSIX]
parity checking				パリティー検査[POSIX]
parity generation			パリティー生成[POSIX]
passive					パッシブ
path					パス[POSIX]
path prefix				前置パス名[POSIX]
pathname				パス名[POSIX]
pathname component			パス名の構成要素[POSIX]
pathname resolution			パス名の解決[POSIX]
pattern					パターン(パタンでなく)[kana]
pending signal				保留されているシグナル[POSIX]
Pentium					Pentium
performance				性能
period					ピリオド(ピリオッドでなく)[kana]
peripheral				周辺器機
permission				パーミッション(パーミションでなく)[kana]
personal computer			パーソナルコンピューター
phrase					句[rcsfile.5]
physical				物理的
physical memory				物理メモリー
PIC					PIC
pinout					ピン配置
pipe					パイプ[POSIX]
pipelined burst				パイプラインバースト
plain text				プレインテキスト
platform				プラットフォーム
plus signs				正符号[POSIX]
poll					状況を監視する
port					ポート[POSIX]
portability				移植性[POSIX]
portable file name character set        移植可能なファイル名文字集合[POSIX]
portable system				移植性のあるシステム[POSIX]
ports					ports
ports collection			ports集
POSIX.1					POSIX.1[POSIX]
power management			電源管理
PPP					PPP
PR					PR
preemptive				プリエンプティブ
prefix					プレフィックス(プレフィクスでなく)[kana],(形容詞として)前に置いた[POSIX]
primary					プライマリー(find.1 での条件式単位)[find.1]
print					印字[groff_out.5,termcap.5]
print out				印字する,プリントアウトする[general]
printer					プリンター
printer hardware			プリンター機器
printing				プリンターの利用
priority				優先度
privilege				特権[POSIX]
probe					プローブ
problem report				問題報告
procedure				手続き[gctags.1]
process					プロセス[POSIX]
process group				プロセスグループ[POSIX]
process group ID			プロセスグループID[POSIX]
process group leader			プロセスグループリーダー[POSIX]
process ID				プロセスID[POSIX]
process image				プロセスイメージ[POSIX]
process signal mask			プロセスシグナルマスク[POSIX]
process time				プロセス時間[POSIX]
processor				プロセッサー[kana]
product					製品
profile					プロファイル
protected mode				プロテクトモード
pseudo-device				疑似デバイス (pseudo-device)
pseudo-terminal				仮想ターミナル
pump out				送り出す
queue					キュー
quotation marks				クォーテーションマーク
quote					クォート(単一引用符文字のこと)(クオートでなく)[kana,forward.5]
rate					速度[POSIX]
read					読取り,読み取り(動詞)[POSIX]
read lock				読取りロック[POSIX]
read permission				読取り許可[POSIX]
read-only				読取り専用[POSIX]
read-only file system			読取り専用ファイルシステム[POSIX]
read-write				読み書き可[general]
ready-to-run				すぐに実行可能な
real group ID				実グループID[POSIX]
real mode				リアルモード
real user ID				実ユーザーID
reboot					リブート
receive (a signal)			(シグナルを)受信する[POSIX]
Referenced C Language routines		参照されたプログラム言語 C ルーチン[POSIX]
reflection				反射
regular file				通常ファイル[POSIX]
relative pathname			相対パス名[POSIX]
release					リリース
reliability				信頼性
remote file access			リモートファイルアクセス
remote satellite			遠く離れた人工衛星
removal					削除[POSIX]
remove					削除する[POSIX]
repository				(CVS の)リポジトリー [cvs.1,cvs.5]
requests to and from			要求や応答
research				研究
research center				研究センター
reset					リセット(する)[POSIX]
resource				資源[POSIX,general]
resource recode				(DNSの)リソースレコード[DNS]
restore					レストア
resume					再開する[POSIX],リジューム[APM]
retry					リトライする
return					復帰する,戻る,帰る,返す[POSIX]
return value				戻り値
RETURNS					返却値(.Sh)[POSIX]
revision				リビジョン(レビジョンでなく)[kana]
ringing					リンギング
root directory				ルートディレクトリー[POSIX]
router					ルーター
routine					ルーチン[POSIX]
routing					ルーティング
row					行[termcap.5]
saved set-group-ID			退避グループID[POSIX]
saved set-user-ID			退避ユーザーID
scaled point				スケールドポイント(troff.1 の記述にあわせた)[troff.1,groff_out.5,groff_font.5]
SCO					SCO
screen					画面[termcap.5]
script					スクリプト
search					検索(通常は),探索(パス名からinodeを)[POSIX]
search permission			検索許可[POSIX]
section					節(章、セクション)
sector					部分, セクター
secure					secure
security				セキュリティー
SEE					関連項目(.Sh)[jpman]
segment					部分
segment selector			セグメントセレクター
selector				セレクター
send (a signal)				(シグナルを)送信する[POSIX]
serial bus				シリアルバス
serial number				通し番号[POSIX]
serial terminal				シリアル端末
server					サーバー[kana]
service					サービス
session					セション[POSIX](これは JIS 用語ですね)
session					セッション
session leader				セッションリーダー[POSIX]
session membership			セッションメンバーシップ[POSIX]
set					集合[POSIX]
set up					セットアップ，設定する
set-group-ID				グループID設定[POSIX]
set-user-ID				ユーザーID設定
shared library				共有ライブラリー
shared lock				共有ロック[POSIX]
sharing					共有
shielded cabling			シールドケーブル
Shugart Associates			シュガート・アソシエーツ社
shutdown				シャットダウン
signal					シグナル[POSIX]
signal-catching function	        シグナル捕そく関数[POSIX]
Silicon Graphics, Inc.			シリコン・グラフィックス社
simulated login port			仮想ログインポート
single unit				1 つのユニット
single-ended				シングルエンド, 不平衡
single-stepping				シングルステップ実行
site					サイト
size					大きさ,(block size 等では)「サイズ」も可[general]
slamming				途中で突然終わってしまう
slash					スラッシュ[POSIX]
SLIP					SLIP
snoop					スヌープ
software				ソフトウェア
solution				解決法
sound card				サウンドカード
sound driver				サウンドドライバー
source					ソース
source address				始点アドレス
source code				ソースコード
speaker					スピーカー
special character			特殊文字 (troff.1 参照)[groff_out.5]
special character			特殊文字[POSIX]
special file				特殊ファイル[POSIX]
special font				スペシャルフォント[troff.1,groff_out.5]
specify					規定する,指定する[POSIX]
stack trace				スタックトレース
standard				規格
standard time				標準時[POSIX]
standard time zone			標準時間帯[POSIX]
STANDARDS				規格(.Sh)[jpman]
standby					スタンバイ[APM]
standout				強調表示[termcap.5,terminfo.5]
START character				START 文字[POSIX]
start/stop input(output) control        スタート/ストップ入(出)力制御[POSIX]
static					static
static data				静的データ[POSIX]
status					ステータス
status information			状態情報[POSIX]
stop (a process)			(プロセスを)停止する[POSIX]
STOP character				STOP 文字[POSIX]
Strictly Conforming			厳密に適合する[POSIX]
string					文字列[POSIX]
string handling				文字列操作[POSIX]
structure				構造体[POSIX,C]
subexpression				サブ式[re_format.5]
subroutine				サブルーチン[gctags.1]
subscript name				添字名[POSIX]
subscript value				添字値[POSIX]
substring				サブストリング[re_format.5]
subsystem				サブシステム
successful completion			正常終了[POSIX]
suffix					サフィックス(サフィクスでなく)[kana]
summary accounting file			課金データ累計ファイル
summer time				夏時間[POSIX]
